id	filename	md5	size	state
b4ac6e06-8760-4cb2-883c-c829eaefdc4c	b4ac6e06-8760-4cb2-883c-c829eaefdc4c/96668a75-e21b-482f-b699-0b5282909a9a.rna_seq.augmented_star_gene_counts.tsv	fa5bcb02e4e0a184d35b17ad7d4e7195	4246784	validated
e94ef671-995d-452b-bcbe-993e5b437a68	e94ef671-995d-452b-bcbe-993e5b437a68/b29eda98-8a40-4c9f-ab41-7d6eded84d50.rna_seq.augmented_star_gene_counts.tsv	0dd6ca0311af3841ac2d23f48ff7968f	4250093	validated
6c908d24-e571-436a-9a06-705c294ba5d7	6c908d24-e571-436a-9a06-705c294ba5d7/9ba7cd75-a96c-4220-9f57-c9f0fb545a95.rna_seq.augmented_star_gene_counts.tsv	fce1c9502897709291cce4c4fe95c70e	4239350	validated
3844ac53-a01f-41f1-a3f3-d9decf12d024	3844ac53-a01f-41f1-a3f3-d9decf12d024/cff71f50-9056-40dd-b358-0de3e079cad0.rna_seq.augmented_star_gene_counts.tsv	6cf38e3198e159bca01742fa00aa8faa	4251737	validated
4c2bb8e3-2527-466b-a3bb-0f36c3b2a3e7	4c2bb8e3-2527-466b-a3bb-0f36c3b2a3e7/2d1e176a-adc9-4d8a-92cf-5cba5ab8e486.rna_seq.augmented_star_gene_counts.tsv	f18b1cb250955746893716a393fb20ed	4242224	validated
739fe30a-4fae-4f4d-a360-3ab300a4848a	739fe30a-4fae-4f4d-a360-3ab300a4848a/52064107-3c37-45b1-aa6b-a14a98352f9d.rna_seq.augmented_star_gene_counts.tsv	471ddfc560463bfb4b70b40c18567a9f	4254739	validated
9054231e-9b1f-4ee4-b22c-1e9dbfdcfc03	9054231e-9b1f-4ee4-b22c-1e9dbfdcfc03/06ce7b93-1264-4219-8a2f-d8f0d295e45f.rna_seq.augmented_star_gene_counts.tsv	ecd25fbc7b6a91bbd0e56c2d5531487c	4250811	validated
9c0043c4-b65a-42ca-9f02-fe1cef04beaf	9c0043c4-b65a-42ca-9f02-fe1cef04beaf/17dfa221-f092-45ed-a2e4-5798ddfc0ce9.rna_seq.augmented_star_gene_counts.tsv	b979c1b0eb44ec08802a3ca2a12acf59	4244005	validated
e914127b-20a0-4ef1-a614-06b697da648c	e914127b-20a0-4ef1-a614-06b697da648c/526d20dd-9df1-44c4-ab04-82109fafd3a3.rna_seq.augmented_star_gene_counts.tsv	6b681f4fd3ba95c41959fd633202a586	4255248	validated
a127fb1e-aa3b-4b6d-98b5-c141ffba9ae7	a127fb1e-aa3b-4b6d-98b5-c141ffba9ae7/e590db5d-2577-43ec-9d39-45a257be5562.rna_seq.augmented_star_gene_counts.tsv	b912d6130899440dedf7e719839451cb	4242368	validated
