"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","8/63","156/9422",0.0512820512820513,7.66951566951567,6.89151175794711,8.44546954869048e-06,0.00100501087629417,9.35361772401739e-05,"6772/4940/4939/4938/3627/91543/3434/4599",8
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","8/63","173/9422",0.046242774566474,6.91586384071933,6.44314469601219,1.80015261166568e-05,0.00106388019976465,9.90151343380799e-05,"6772/4940/4939/4938/3627/91543/64135/4599",8
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","9/63","239/9422",0.0376569037656904,5.63179916317992,5.95059552376973,2.68205092377644e-05,0.00106388019976465,9.90151343380799e-05,"6772/4940/4939/4938/4312/3627/64135/9636/4599",9
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","8/63","205/9422",0.0390243902439024,5.83631436314363,5.7438185550378,6.07545498330348e-05,0.00180744785753278,0.000168218839360177,"6890/6772/4940/4939/4938/3627/890/9636",8
"Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","5/63","77/9422",0.0649350649350649,9.71139971139971,6.2972031490521,0.000155237585555172,0.00367868480231707,0.00034237451732766,"4312/9370/5346/729359/2167",5
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","7/63","180/9422",0.0388888888888889,5.81604938271605,5.35239621458573,0.00018547990599918,0.00367868480231707,0.00034237451732766,"6890/6772/4940/4939/684/4938/64135",7
"Human Diseases","Infectious disease: viral","hsa05162","Measles","6/63","136/9422",0.0441176470588235,6.59803921568627,5.39504540387016,0.000280142314566906,0.0047624193476374,0.000443237491951539,"6772/4940/4939/4938/64135/4599",6
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","6/63","187/9422",0.0320855614973262,4.79857397504456,4.30454244779697,0.00149913947208239,0.0222996996472256,0.00207542894092522,"6772/4940/4939/4938/115362/2633",6
