"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032680","regulation of tumor necrosis factor production","7/104","191/18842",0.0366492146596859,6.63985098670963,5.83633590188907,9.13706095599193e-05,0.00211474871336708,0.00176540166670481,"OAS3/OAS2/OAS1/ADIPOQ/CIDEA/IFIH1/LEP",7
"GO:0001819","positive regulation of cytokine production","11/104","499/18842",0.0220440881763527,3.99379528287344,5.04945163386937,9.76064802127534e-05,0.00222973764537965,0.00186139494048928,"STAT1/OAS3/OAS2/OAS1/SAA1/GBP5/ADIPOQ/RSAD2/IFIH1/LEP/ISG15",11
"GO:0007052","mitotic spindle organization","6/104","134/18842",0.0447761194029851,8.11222732491389,6.15533047784845,9.91657611666238e-05,0.00223631504989861,0.00186688578714494,"DLGAP5/BIRC5/KIF11/KIF4A/TPX2/AURKA",6
"GO:0071706","tumor necrosis factor superfamily cytokine production","7/104","196/18842",0.0357142857142857,6.47046703296703,5.73543850997327,0.00010736481153622,0.00236068379365265,0.0019707093696451,"OAS3/OAS2/OAS1/ADIPOQ/CIDEA/IFIH1/LEP",7
"GO:1903555","regulation of tumor necrosis factor superfamily cytokine production","7/104","196/18842",0.0357142857142857,6.47046703296703,5.73543850997327,0.00010736481153622,0.00236068379365265,0.0019707093696451,"OAS3/OAS2/OAS1/ADIPOQ/CIDEA/IFIH1/LEP",7
"GO:1901990","regulation of mitotic cell cycle phase transition","9/104","345/18842",0.0260869565217391,4.72625418060201,5.20401335808438,0.00012433590715005,0.00270008469971528,0.00225404276119973,"DLGAP5/BIRC5/ANLN/CENPF/BUB1B/BUB1/AURKA/RRM2/UBE2C",9
"GO:0071605","monocyte chemotactic protein-1 production","3/104","19/18842",0.157894736842105,28.6062753036437,8.96906602726566,0.00014843426363747,0.00314573337034107,0.00262607226092923,"OAS3/OAS1/ADIPOQ",3
"GO:0071637","regulation of monocyte chemotactic protein-1 production","3/104","19/18842",0.157894736842105,28.6062753036437,8.96906602726566,0.00014843426363747,0.00314573337034107,0.00262607226092923,"OAS3/OAS1/ADIPOQ",3
"GO:0045824","negative regulation of innate immune response","5/104","94/18842",0.0531914893617021,9.63686579378069,6.25388157029311,0.000172927161997,0.00362117711848481,0.00302297482438365,"OAS3/OAS1/ISG15/USP18/PARP14",5
"GO:1901987","regulation of cell cycle phase transition","10/104","459/18842",0.0217864923747277,3.94712585889056,4.76215864621503,0.000225777114037784,0.00467225815991131,0.0039004219700645,"DLGAP5/BIRC5/ANLN/CENPF/BUB1B/BUB1/AURKA/RRM2/PARP9/UBE2C",10
