"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060339","negative regulation of type I interferon-mediated signaling pathway","6/94","21/18842",0.285714285714286,57.2705167173252,18.2686995073552,6.69939733469247e-10,4.65955350777122e-08,3.80333289653414e-08,"STAT2/OAS1/ISG15/USP18/NLRC5/SAMHD1",6
"GO:0070106","interleukin-27-mediated signaling pathway","5/94","10/18842",0.5,100.223404255319,22.2230840888182,6.8566686294778e-10,4.65955350777122e-08,3.80333289653414e-08,"OAS1/STAT1/OAS2/MX1/OASL",5
"GO:0002832","negative regulation of response to biotic stimulus","10/94","131/18842",0.0763358778625954,15.3012830924151,11.6305587966447,1.02821297096204e-09,6.69623697339027e-08,5.46576368774557e-08,"STAT2/OAS1/TRIM21/ISG15/USP18/DHX58/PARP14/NLRC5/SAMHD1/HLA-B",10
"GO:0045089","positive regulation of innate immune response","15/94","396/18842",0.0378787878787879,7.59268214055448,9.38851830050174,1.08695875710725e-09,6.79566614943455e-08,5.54692216258523e-08,"MYD88/OAS1/PLSCR1/ZNFX1/GBP5/ZBP1/DHX58/IFIH1/IFI35/PARP9/NLRC5/DDX60/RSAD2/OASL/EIF2AK2",15
"GO:0060338","regulation of type I interferon-mediated signaling pathway","7/94","41/18842",0.170731707317073,34.2226258432797,15.0790450242165,1.20005555178127e-09,7.21418010551584e-08,5.88853169538014e-08,"STAT2/OAS1/ISG15/USP18/ZBP1/NLRC5/SAMHD1",7
"GO:0032479","regulation of type I interferon production","10/94","137/18842",0.072992700729927,14.631153905886,11.3384183716558,1.59525680958794e-09,8.9049514049498e-08,7.26861373391195e-08,"SIGLEC1/XAF1/MYD88/OAS1/TRIM21/STAT1/ISG15/OAS2/DHX58/IFIH1",10
"GO:0032606","type I interferon production","10/94","137/18842",0.072992700729927,14.631153905886,11.3384183716558,1.59525680958794e-09,8.9049514049498e-08,7.26861373391195e-08,"SIGLEC1/XAF1/MYD88/OAS1/TRIM21/STAT1/ISG15/OAS2/DHX58/IFIH1",10
"GO:0002833","positive regulation of response to biotic stimulus","15/94","424/18842",0.035377358490566,7.09127860297069,8.98273498198893,2.75741997571475e-09,1.48615428346281e-07,1.21306461363567e-07,"MYD88/OAS1/PLSCR1/ZNFX1/GBP5/ZBP1/DHX58/IFIH1/IFI35/PARP9/NLRC5/DDX60/RSAD2/OASL/EIF2AK2",15
"GO:0001819","positive regulation of cytokine production","15/94","499/18842",0.030060120240481,6.02545516565045,8.05617555928777,2.44208391844974e-08,1.27232572151231e-06,1.03852831900389e-06,"MYD88/OAS1/STAT1/CD80/ISG15/IFNL1/B2M/GBP5/OAS2/DHX58/IFIH1/HPSE/PSMB8/RSAD2/EIF2AK2",15
"GO:0060759","regulation of response to cytokine stimulus","10/94","196/18842",0.0510204081632653,10.2268779852366,9.19450604156233,4.99539677095018e-08,2.51864682354681e-06,2.05583052169495e-06,"STAT2/OAS1/ISG15/USP18/ZBP1/IFIH1/PARP9/PARP14/NLRC5/SAMHD1",10
"GO:0002218","activation of innate immune response","12/94","326/18842",0.0368098159509202,7.37841012922595,8.2259503505504,7.89449955771824e-08,3.855969627723e-06,3.14741232366925e-06,"MYD88/OAS1/ZNFX1/GBP5/ZBP1/DHX58/IFIH1/IFI35/DDX60/RSAD2/OASL/EIF2AK2",12
"GO:0032481","positive regulation of type I interferon production","7/94","80/18842",0.0875,17.5390957446808,10.4967684752284,1.4481714892697e-07,6.85906678099557e-06,5.59867255181778e-06,"MYD88/OAS1/STAT1/ISG15/OAS2/DHX58/IFIH1",7
"GO:0060333","type II interferon-mediated signaling pathway","5/94","26/18842",0.192307692307692,38.5474631751228,13.5656950768236,1.68041611659297e-07,7.46396685128916e-06,6.09241864414753e-06,"STAT1/SP100/PARP9/PARP14/NLRC5",5
"GO:0062208","positive regulation of pattern recognition receptor signaling pathway","7/94","82/18842",0.0853658536585366,17.1113129216399,10.3528487955122,1.71914783522975e-07,7.46396685128916e-06,6.09241864414753e-06,"MYD88/GBP5/DHX58/IFI35/DDX60/RSAD2/OASL",7
"GO:0098586","cellular response to virus","7/94","82/18842",0.0853658536585366,17.1113129216399,10.3528487955122,1.71914783522975e-07,7.46396685128916e-06,6.09241864414753e-06,"OAS1/IFI6/ADAR/IFNL2/IFNL1/IFIH1/CXCL10",7
"GO:0001959","regulation of cytokine-mediated signaling pathway","9/94","184/18842",0.0489130434782609,9.80446345975948,8.49801888118669,3.45986515467219e-07,1.46155925317639e-05,1.19298906613448e-05,"STAT2/OAS1/ISG15/USP18/ZBP1/PARP9/PARP14/NLRC5/SAMHD1",9
"GO:0002753","cytoplasmic pattern recognition receptor signaling pathway","9/94","191/18842",0.0471204188481675,9.44513757379971,8.30636059029306,4.74053766237854e-07,1.94985799113096e-05,1.59156001296476e-05,"MYD88/OAS1/GBP5/DHX58/IFIH1/DDX60/RSAD2/OASL/EIF2AK2",9
"GO:0001960","negative regulation of cytokine-mediated signaling pathway","7/94","105/18842",0.0666666666666667,13.3631205673759,8.99520685483413,9.37843928079202e-07,3.75858989637896e-05,3.06792669590281e-05,"STAT2/OAS1/ISG15/USP18/PARP14/NLRC5/SAMHD1",7
"GO:0060761","negative regulation of response to cytokine stimulus","7/94","110/18842",0.0636363636363636,12.7557059961315,8.75571089693354,1.28496934554326e-06,5.02101771771029e-05,4.09837591262745e-05,"STAT2/OAS1/ISG15/USP18/PARP14/NLRC5/SAMHD1",7
"GO:0071346","cellular response to type II interferon","6/94","71/18842",0.0845070422535211,16.939166916392,9.52773166356057,1.44719946788389e-06,5.51700675195737e-05,4.50322401816502e-05,"STAT1/SP100/GBP5/PARP9/PARP14/NLRC5",6
"GO:0002221","pattern recognition receptor signaling pathway","10/94","291/18842",0.0343642611683849,6.88820647802881,7.16777380376974,1.90677297214159e-06,7.09591941775547e-05,5.79200211086617e-05,"MYD88/OAS1/GBP5/DHX58/IFIH1/IFI35/DDX60/RSAD2/OASL/EIF2AK2",10
"GO:0031348","negative regulation of defense response","10/94","300/18842",0.0333333333333333,6.68156028368794,7.02406282298912,2.50442954859149e-06,9.10331019639185e-05,7.43052292017841e-05,"STAT2/OAS1/TRIM21/ISG15/USP18/DHX58/PARP14/NLRC5/SAMHD1/HLA-B",10
"GO:0002758","innate immune response-activating signaling pathway","10/94","306/18842",0.0326797385620915,6.55054929773328,6.9314979039281,2.98808837139738e-06,0.000106145048283957,8.66402656969765e-05,"MYD88/OAS1/GBP5/DHX58/IFIH1/IFI35/DDX60/RSAD2/OASL/EIF2AK2",10
"GO:0019885","antigen processing and presentation of endogenous peptide antigen via MHC class I","4/94","22/18842",0.181818181818182,36.4448742746615,11.7785925906586,3.96623935481106e-06,0.000137760713590437,0.000112446364866222,"TAP1/TAP2/B2M/HLA-B",4
"GO:0039531","regulation of cytoplasmic pattern recognition receptor signaling pathway","7/94","135/18842",0.0518518518518519,10.3935382190701,7.75590439475034,5.0528876526883e-06,0.000171688334807648,0.000140139584326275,"MYD88/GBP5/DHX58/DDX60/RSAD2/OASL/EIF2AK2",7
"GO:0002483","antigen processing and presentation of endogenous peptide antigen","4/94","24/18842",0.166666666666667,33.4078014184397,11.2488179157861,5.71762225127671e-06,0.000190141352739266,0.00015520175069535,"TAP1/TAP2/B2M/HLA-B",4
"GO:0062207","regulation of pattern recognition receptor signaling pathway","8/94","195/18842",0.041025641025641,8.22345881069285,7.17953720078533,5.93147954353116e-06,0.000193143802636233,0.000157652482604381,"MYD88/GBP5/DHX58/IFI35/DDX60/RSAD2/OASL/EIF2AK2",8
"GO:0019883","antigen processing and presentation of endogenous antigen","4/94","30/18842",0.133333333333333,26.7262411347518,9.98522619764663,1.44119713332192e-05,0.000459712473343298,0.000375237577999177,"TAP1/TAP2/B2M/HLA-B",4
"GO:0060760","positive regulation of response to cytokine stimulus","5/94","65/18842",0.0769230769230769,15.4189852700491,8.24549442749558,1.80994284349965e-05,0.000565788132877989,0.000461821205541383,"ZBP1/IFIH1/PARP9/PARP14/NLRC5",5
"GO:0039530","MDA-5 signaling pathway","3/94","11/18842",0.272727272727273,54.6673114119923,12.606888706427,1.92739099339483e-05,0.000579329254360792,0.000472874065585938,"DHX58/IFIH1/DDX60",3
"GO:1900246","positive regulation of RIG-I signaling pathway","3/94","11/18842",0.272727272727273,54.6673114119923,12.606888706427,1.92739099339483e-05,0.000579329254360792,0.000472874065585938,"DHX58/DDX60/OASL",3
"GO:0002474","antigen processing and presentation of peptide antigen via MHC class I","4/94","35/18842",0.114285714285714,22.9082066869301,9.18585357920017,2.70150217009881e-05,0.000796688281483857,0.000650292081461719,"TAP1/TAP2/B2M/HLA-B",4
"GO:0030522","intracellular receptor signaling pathway","10/94","399/18842",0.025062656641604,5.02372953660748,5.75225161755942,3.0087658265059e-05,0.00087087055311643,0.00071084292041426,"MYD88/OAS1/SP100/GBP5/DHX58/IFIH1/DDX60/RSAD2/OASL/EIF2AK2",10
"GO:0042742","defense response to bacterium","9/94","322/18842",0.0279503105590062,5.60255054843399,5.8985388034743,3.30836224201317e-05,0.000909471278333287,0.000742350533279418,"MYD88/OAS1/ZNFX1/APOL1/ISG15/B2M/GBP5/OAS2/RNF213",9
"GO:0060330","regulation of response to type II interferon","3/94","13/18842",0.230769230769231,46.2569558101473,11.5579767249071,3.3166898825974e-05,0.000909471278333287,0.000742350533279418,"PARP9/PARP14/NLRC5",3
"GO:0060334","regulation of type II interferon-mediated signaling pathway","3/94","13/18842",0.230769230769231,46.2569558101473,11.5579767249071,3.3166898825974e-05,0.000909471278333287,0.000742350533279418,"PARP9/PARP14/NLRC5",3
"GO:0032102","negative regulation of response to external stimulus","10/94","416/18842",0.0240384615384615,4.81843289689034,5.57641034247204,4.28070426692945e-05,0.00115357599469151,0.000941599559259256,"STAT2/OAS1/TRIM21/ISG15/USP18/DHX58/PARP14/NLRC5/SAMHD1/HLA-B",10
"GO:0071360","cellular response to exogenous dsRNA","3/94","15/18842",0.2,40.0893617021277,10.7238832249549,5.23846996678789e-05,0.00138775060306601,0.00113274319353201,"OAS1/IFIT1/IFIH1",3
